Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ORLY,O'Reilly Automotive,378.39,9.67,2.62%,367.01,378.39,364.45,1222600,03/02/2020
OSK,Oshkosh Truck Corp,76.47,4.32,5.99%,72.99,76.73,71.3,1177600,03/02/2020
OUT,Outfront Media Inc,27.13,0.79,3.00%,26.37,27.17,25.93,2215800,03/02/2020
OXY,Occidental Petroleum Corp,32.95,0.21,0.64%,33.58,33.66,31.7,17223701,03/02/2020
OZK,Bank Ozk,26.42,1.03,4.06%,25.36,26.44,25.07,776800,03/02/2020
PACW,Pacwest Bancorp,32.73,1.09,3.45%,31.59,32.76,31.35,1458400,03/02/2020
PAG,Penske Automotive Group,46.79,0.77,1.67%,46.27,46.79,44.54,309500,03/02/2020
PANW,Palo Alto Networks Inc,189.29,4.67,2.53%,184.91,189.49,179.11,2159700,03/02/2020
PAYC,Paycom Software Inc,291.96,9.31,3.29%,285.65,292.33,276.12,811000,03/02/2020
PAYX,Paychex Inc,82.08,4.6,5.94%,77.61,82.23,76.88,3501000,03/02/2020
PB,Prosperity Bancshares,68.02,3.42,5.29%,64.97,68.07,64.31,646700,03/02/2020
PBCT,People's United Finl,14.89,0.9,6.40%,13.98,14.89,13.84,8315101,03/02/2020
PBF,PBF Energy Inc,21.97,-0.42,-1.88%,22.49,22.67,20.81,4229500,03/02/2020
PCAR,Paccar Inc,69.68,2.78,4.16%,67.32,69.69,66.26,2582600,03/02/2020
PCG,Pacific Gas & Electric Company,15.05,-0.45,-2.90%,15.58,15.65,14.88,14760199,03/02/2020
PCTY,Paylocity Hld Corp,133.22,3.7,2.86%,128.9,133.5,127.86,409900,03/02/2020
PD,Pagerduty Inc,20.87,0.27,1.31%,20.99,21.25,20.04,1336800,03/02/2020
PE,Parsley Energy,13.18,-0.22,-1.64%,13.64,13.68,12.83,8271500,03/02/2020
PEAK,Healthpeak Properties Inc.,32.83,1.19,3.76%,31.87,32.85,31.33,5655300,03/02/2020
PEG,Public Service Enterprise Group Inc,53.71,2.4,4.68%,51.35,53.76,51.27,4264100,03/02/2020
PEGA,Pegasystems Inc,90.44,-0.06,-0.07%,91.54,91.54,88.75,459800,03/02/2020
PEN,Penumbra Inc,172.27,6.41,3.86%,167.84,174.99,166.7,488900,03/02/2020
PEP,Pepsico Inc,137.58,5.55,4.20%,132,137.77,131.72,8504500,03/02/2020
PFE,Pfizer Inc,34.88,1.46,4.37%,33.91,34.95,33.44,39880801,03/02/2020
PFG,Principal Financial Group Inc,47.08,2.69,6.06%,44.6,47.11,43.97,2399100,03/02/2020
PFPT,Proofpoint Inc,113.29,6.64,6.23%,109.17,113.29,107.45,1148100,03/02/2020
PG,Procter & Gamble Company,119.56,6.33,5.59%,112.81,119.79,112.55,12399700,03/02/2020
PGR,Progressive Corp,78.88,5.72,7.82%,73.6,78.91,73.59,4671500,03/02/2020
